Request_ID,Sample_Received_Date,Number_of_Tests,Test_Type,Test_Names,Final_CofA_Date,Revenue
33b1ff8d-a70e-4b58-a8e7-8d27685c32f0,01/12/2024,2,Chemistry,"Heavy Metals, Turbidity",02/03/2024,316.97
7cffd9e9-9b9f-4d80-aadd-a71eefc8362f,10/11/2024,4,Microbiology,"Total Coliforms, Cryptosporidium, Giardia, Pseudomonas aeruginosa",11/04/2024,729.0
5190c8b5-5365-4358-ba5b-27db933d0db0,07/10/2023,4,Chemistry,"Alkalinity, Nitrate, Sulfate, Phosphate",07/25/2023,789.2
452e54a6-6282-4c65-960d-c5e5275a7f6f,02/08/2023,6,Microbiology,"Clostridium perfringens, Cryptosporidium, Heterotrophic Plate Count, Fecal Streptococci, Pseudomonas aeruginosa, Legionella",NaN,1344.81
3f168fdb-c0bd-4ee3-979e-7430c5304f40,11/10/2023,7,Chemistry,"pH, TOC, Sulfate, Heavy Metals, Nitrate, Alkalinity, Turbidity",NaN,1323.3
e0d12a0f-5343-4605-98e7-183be26f27b1,02/10/2023,1,Chemistry,TOC,03/05/2023,190.4
abfd21b5-4c75-4879-a812-c52f2d0f45db,01/23/2025,6,Chemistry,"TOC, Alkalinity, Turbidity, pH, Hardness, Chloride",01/27/2025,587.44
718d786f-81bd-48da-a109-758b22aa0e9c,04/20/2024,9,Chemistry,"Alkalinity, Hardness, pH, Phosphate, Sulfate, Nitrate, Chloride, Heavy Metals, TOC",05/05/2024,1653.92
a42dbd99-5172-487d-80a0-8709367a13ea,04/24/2024,7,Chemistry,"TOC, Hardness, Alkalinity, Nitrate, Turbidity, pH, Sulfate",05/22/2024,1847.37
b1041021-2713-45aa-8058-94f658f6102f,08/17/2023,9,Microbiology,"Cryptosporidium, Heterotrophic Plate Count, Pseudomonas aeruginosa, Total Coliforms, Fecal Streptococci, Giardia, Enterococci, Legionella, Clostridium perfringens",09/13/2023,2669.13
8fadcb50-8037-4e2c-a1ae-5f91d308fe64,04/15/2025,6,MICROBIOLOGY,"Clostridium perfringens, Pseudomonas aeruginosa, Cryptosporidium, Legionella, Enterococci, Total Coliforms",05/01/2025,1551.49
84479111-5c48-45eb-a446-69a44363d78f,12/25/2023,7,Microbiology,"Legionella, Cryptosporidium, Fecal Streptococci, Enterococci, Pseudomonas aeruginosa, E. coli, Clostridium perfringens",01/22/2024,1696.15
dc659fe0-67cd-49c4-a5de-417707db8ff8,03/22/2024,6,Microbiology,"Giardia, Enterococci, Legionella, Heterotrophic Plate Count, Total Coliforms, Clostridium perfringens",04/05/2024,901.81
121ee91a-bd19-460b-b275-a5c3c9d6d124,10/10/2023,2,Microbiology,"Cryptosporidium, Giardia",11/01/2023,299.17
a7cfddde-16c5-4cbd-aa85-48248786274f,03/16/2024,9,Chemistry,"Hardness, TOC, Heavy Metals, pH, Alkalinity, Nitrate, Phosphate, Turbidity, Chloride",03/30/2024,1546.03
3ef99c16-5f74-477d-8c09-bfc17a555ccc,12/29/2023,10,Microbiology,"Total Coliforms, Fecal Streptococci, Cryptosporidium, Legionella, Enterococci, Giardia, E. coli, Clostridium perfringens, Pseudomonas aeruginosa, Heterotrophic Plate Count",01/01/2024,1484.1
cb57c96f-9a31-4215-ba92-1985edaf3469,10/04/2024,2,Chemistry,"Nitrate, Turbidity",10/12/2024,238.02
8b99685c-09ae-4409-805c-3bbbe095c3bd,04/14/2025,10,Microbiology,"Clostridium perfringens, Total Coliforms, Pseudomonas aeruginosa, Fecal Streptococci, Legionella, Cryptosporidium, Giardia, Enterococci, Heterotrophic Plate Count, E. coli",05.02.2025,2088.58
8d0c2b3e-fd65-44a7-a62e-7605a1b9eb64,02/18/2025,2,Chemistry,"Nitrate, Chloride",2025/02/25,10000
7d0e6de5-a5e2-4371-95a9-13277d805634,02/14/2024,4,Microbiology,"Clostridium perfringens, E. coli, Giardia, Total Coliforms",02/20/2024,488.72
16e30c94-e07c-4147-8240-e08b0cbcb8c5,03/08/2023,1,Chemistry,pH,03/24/2023,235.71
