Succursale,Succursale_ID,Produit_Catégorie,Marque - Nom,Souche
Alma,37,Fleurs Séchées,1964 - Bleu Nuit,Sativa
Alma,37,Fleurs Séchées,1964 - Comatose,Indica
Alma,37,Fleurs Séchées,1964 - OG Kush,Indica
Alma,37,Fleurs Séchées,5 Points Cannabis - Blueberry Yum Yum,Sativa
Alma,37,Fleurs Séchées,5 Points Cannabis - Zsweet,Sativa
Alma,37,Fleurs Séchées,BLKMKT - LA WoMac,Indica
Alma,37,Fleurs Séchées,Back Forty - Fire Breath,Indica
Alma,37,Fleurs Séchées,Be Humble. - Découverte,Hybride
Alma,37,Fleurs Séchées,Big Bag O'Buds - Amnesia OG,Sativa
Alma,37,Fleurs Séchées,Blakh - H30 Haze,Sativa
Alma,37,Fleurs Séchées,Blakh - H30 Kush,Indica
Alma,37,Fleurs Séchées,Blanh - Blanh Hybride,Hybride
Alma,37,Fleurs Séchées,Blanh - Blanh Sativa,Sativa
Alma,37,Fleurs Séchées,Bleuh - H26 Indica,Indica
Alma,37,Fleurs Séchées,Bleuh - H26 Sativa,Sativa
Alma,37,Fleurs Séchées,Bleuh - Indic'once,Indica
Alma,37,Fleurs Séchées,Bold - Root Beer Float,Indica
Alma,37,Fleurs Séchées,Bud Lafleur - Banana Baby,Indica
Alma,37,Fleurs Séchées,Bud Lafleur - Banana Daddy,Indica
Alma,37,Fleurs Séchées,Bud Lafleur - Lava Cake,Indica
Alma,37,Fleurs Séchées,Bud Lafleur - Strawberry Bubbles,Sativa
Alma,37,Fleurs Séchées,Cannafrogs - ZeddyZ,Indica
Alma,37,Fleurs Séchées,Carmel Cannabis - Animal Face,Sativa
Alma,37,Fleurs Séchées,Carmel Cannabis - Kush Life,Indica
Alma,37,Fleurs Séchées,Celebrity - Goofiez,Hybride
Alma,37,Fleurs Séchées,Cheers Cannabis - Chem Cookies #44,Indica
Alma,37,Fleurs Séchées,Cheers Cannabis - Pomelo Soda,Hybride
Alma,37,Fleurs Séchées,Cheers à Lise - Duo Sorbet Cerise et Lime,Mélange
Alma,37,Fleurs Séchées,Clair de Lune - Dark Shadow Haze,Sativa
Alma,37,Fleurs Séchées,Clair de Lune - GG,Hybride
Alma,37,Fleurs Séchées,Clem et Co - Apricot Cream and Cheese 1:1,Hybride
Alma,37,Fleurs Séchées,Clem et Co - Lab 101,Hybride
Alma,37,Fleurs Séchées,Clem et Co - Mango Fuel,Sativa
Alma,37,Fleurs Séchées,Color Cannabis - Mango Haze,Hybride
Alma,37,Fleurs Séchées,Cultures Chloris - RRW,Hybride
